nfl_id,home_team,away_team,home_won,home_win_probability,home_score,predicted_home_score,away_score,predicted_away_score,home_total_yards,predicted_home_total_yards,away_yards,predicted_away_total_yards
2010092608,HOU,DAL,0.0,0.0,26.80189609527588,13.0,26.179816126823425,27.0,360.2036021947861,339.99999999999994,342.398131608963,385.0
2010092609,KC,SF,1.0,1.0,21.112666487693787,31.0,22.048733592033386,10.0,369.34035474061966,457.0,365.71925777196884,250.99999999999997
2010092607,STL,WAS,1.0,1.0,21.703885436058044,30.0,22.470004439353943,16.0,368.67471247911453,364.99999999999994,363.2785183787346,349.0
2010092610,JAC,PHI,0.0,0.0,27.088972687721252,3.0,26.49100762605667,28.0,357.4535353779793,184.0,340.73099821805954,373.0
2010092611,DEN,IND,0.0,0.0,25.718550860881805,13.0,25.327239334583282,27.0,363.51176911592484,519.0,347.09077924489975,364.99999999999994
2010092612,ARI,OAK,1.0,1.0,20.97802323102951,24.0,21.915712654590607,23.0,370.35016256570816,227.0,366.47400748729706,364.0
2010092613,SEA,SD,1.0,1.0,20.9871843457222,27.0,21.93901640176773,20.0,369.94954311847687,271.0,366.3470341563225,518.0
2010092614,MIA,NYJ,0.0,0.0,27.47704327106476,23.0,26.817760825157166,31.0,355.8060247898102,436.0,338.95490461587906,402.0
2010092700,CHI,GB,1.0,1.0,21.550201177597046,20.0,22.394346714019775,17.0,368.0688201189041,276.0,363.733138859272,379.0
2010100300,BUF,NYJ,0.0,0.0,26.551700472831726,14.0,26.033759355545044,38.0,359.8464825153351,222.99999999999997,343.22186774015427,444.0
2010100301,CLE,CIN,1.0,1.0,21.402536869049072,23.0,22.230533123016357,20.0,369.5918868780136,295.0,364.6511180996895,413.0
2010100302,PIT,BAL,0.0,0.0,27.002045571804047,14.0,26.368489265441895,17.0,358.9078073501587,210.0,341.3778991699219,320.0
2010100303,TEN,DEN,0.0,0.0,25.699829518795013,20.0,25.35793960094452,26.0,362.56163454055786,288.0,346.9412320256233,327.0
2010100304,GB,DET,1.0,1.0,20.73139375448227,28.0,21.58145022392273,26.0,374.31944930553436,261.0,368.3434243798256,431.0
2010100305,ATL,SF,1.0,1.0,21.465594828128815,16.0,22.213772237300873,14.0,370.94769990444183,357.0,364.71634858846664,262.0
2010100306,NO,CAR,1.0,1.0,21.178767681121826,16.0,22.074058771133423,14.0,369.7736277580261,383.0,365.5607423186302,250.99999999999997
2010100307,STL,SEA,1.0,0.0,26.63489145040512,20.0,26.111942946910858,3.0,359.3128342628479,349.0,342.7983294725418,257.0
2010100308,JAC,IND,1.0,1.0,20.580765664577484,31.0,21.63152039051056,28.0,370.799685716629,337.0,368.13293915987015,406.0
2010100309,OAK,HOU,0.0,0.0,26.61268711090088,24.0,26.124531626701355,31.0,358.717749774456,363.0,342.74245047569275,441.0
2010100310,PHI,WAS,0.0,0.0,25.552045106887817,12.0,25.15092760324478,17.0,365.02467954158783,353.00000000000006,348.0457811951637,293.0
